,High Income
42256,0.0
28540,0.0
36616,0.0
63407,1.0
40362,0.0
56272,0.0
62844,0.0
58236,1.0
4183,0.0
61247,0.0
66525,0.0
65087,1.0
28267,0.0
58399,0.0
52956,0.0
6758,1.0
9658,0.0
16266,0.0
50223,1.0
55461,0.0
47426,1.0
48450,0.0
26462,0.0
57464,1.0
36510,0.0
36763,1.0
38687,0.0
35706,0.0
24788,0.0
45297,0.0
26150,0.0
26159,0.0
44637,0.0
64461,1.0
35593,0.0
43472,0.0
48354,1.0
42833,0.0
58852,1.0
40356,0.0
30502,0.0
61041,1.0
14808,0.0
43101,0.0
29149,1.0
20198,0.0
6672,1.0
50925,0.0
61977,1.0
7600,0.0
34923,0.0
29317,1.0
43973,0.0
52783,1.0
7637,1.0
47698,0.0
59120,1.0
55650,0.0
44559,0.0
57865,1.0
57073,0.0
42359,1.0
37841,0.0
23427,0.0
25954,0.0
17891,0.0
19465,0.0
50261,0.0
22567,0.0
2150,0.0
49011,0.0
30171,0.0
21881,1.0
36884,0.0
27884,0.0
44485,0.0
35349,0.0
57185,0.0
62667,1.0
46239,0.0
56359,0.0
35846,1.0
13832,0.0
40104,0.0
43065,0.0
64100,1.0
61526,0.0
37806,0.0
54583,0.0
35545,0.0
22126,0.0
39377,0.0
40948,0.0
36722,0.0
36069,0.0
23336,0.0
35931,0.0
44644,0.0
36626,0.0
67824,1.0
26191,1.0
30259,0.0
41304,0.0
61984,1.0
47514,0.0
12369,1.0
27650,0.0
44981,0.0
67306,1.0
67769,1.0
52324,0.0
12789,0.0
53239,1.0
44279,0.0
27781,0.0
27079,0.0
24300,1.0
38143,1.0
10960,0.0
48691,1.0
16619,0.0
61480,1.0
42551,1.0
6847,1.0
1095,0.0
5419,0.0
14360,0.0
16254,0.0
32024,0.0
9310,1.0
67784,1.0
60736,0.0
68252,1.0
19402,0.0
5626,1.0
54596,1.0
61603,1.0
14450,1.0
38611,0.0
38428,0.0
1396,1.0
8053,0.0
17691,0.0
52352,0.0
6200,1.0
8188,1.0
8504,1.0
36667,0.0
3927,0.0
65184,1.0
57471,1.0
41411,1.0
39301,0.0
58380,1.0
4150,1.0
19392,0.0
61959,1.0
68140,1.0
10903,0.0
64458,1.0
30300,0.0
29335,0.0
27617,1.0
60352,1.0
59395,1.0
19281,0.0
12953,0.0
25657,1.0
44078,1.0
26852,0.0
17198,1.0
6328,1.0
20452,0.0
